Final area = 2.12925e+06
Black area = 1.85608e+06

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb89 (367.698,1443.19) (417.897,1459.93)
sb214 (487.687,1625.27) (524.795,1637.64)
sb2 (344.923,1395.39) (358.023,1439.05)
sb254 (391.95,1752.39) (422.545,1762.59)
sb43 (15.5499,0) (65.1181,16.5227)
sb1 (468.322,2043.42) (504.322,2055.42)
sb152 (583.61,2442.08) (613.81,2452.14)
sb172 (435.872,2043.42) (468.322,2054.23)
sb252 (112.102,461.325) (152.052,474.641)
sb288 (256.963,871.185) (311.953,889.516)
sb257 (488.862,1892.67) (529.887,1906.35)
sb146 (435.872,2055.42) (504.806,2078.4)
sb205 (431.732,1715.43) (462.473,1725.68)
sb79 (379.082,1619.38) (433.854,1637.64)
sb96 (305.335,1389.18) (326.675,1460.32)
sb189 (150.107,761.747) (162.693,803.699)
sb57 (95.8541,233.54) (178.122,260.963)
sb297 (619.886,3039.73) (679.334,3059.55)
sb14 (139.328,403.001) (191.978,420.551)
sb145 (504.806,2065.62) (546.699,2079.58)
sb27 (56.4792,196.889) (124.007,219.398)
sb90 (599.628,2851.05) (657.178,2870.23)
sb285 (367.737,1497.87) (379.082,1535.69)
sb33 (379.082,1499.1) (457.885,1525.37)
sb208 (305.335,1346.76) (318.063,1389.18)
sb9 (452.867,1762.59) (510.312,1781.73)
sb102 (56.4792,219.398) (77.2638,288.68)
sb240 (277.647,991.932) (313.855,1004)
sb216 (379.082,1637.64) (428.01,1653.95)
sb92 (357.931,1346.76) (437.587,1373.31)
sb113 (234.262,714.313) (285.173,731.283)
sb38 (405.243,1803.54) (416.184,1840.01)
sb227 (255.459,1200.11) (266.63,1237.35)
sb12 (112.102,433.2) (143.231,443.576)
sb19 (112.102,593.866) (161.942,610.479)
sb165 (209.232,1048.86) (241.958,1059.77)
sb245 (472.818,2002.05) (523.729,2019.02)
sb287 (183.764,889.516) (235.203,906.662)
sb108 (470.015,2173.3) (534.961,2194.95)
sb164 (599.628,2828.87) (666.171,2851.05)
sb201 (183.764,937.014) (231.325,952.868)
sb237 (216.214,975.198) (266.414,991.932)
sb210 (504.806,2055.42) (535.401,2065.62)
sb268 (270.7,893.122) (311.32,906.662)
sb100 (505.727,2329.7) (582.798,2355.39)
sb261 (634.188,2511.94) (674.438,2525.36)
sb103 (583.38,2767.98) (642.27,2787.61)
sb64 (444.48,2116.97) (456.666,2157.59)
sb46 (435.872,2079.58) (444.48,2108.27)
sb187 (599.628,3007.1) (619.886,3074.63)
sb299 (292.335,1345.66) (305.335,1358.66)
sb262 (379.082,1672.39) (441.436,1693.18)
sb279 (593.242,2418.44) (664.172,2442.08)
sb232 (433.854,1619.7) (487.687,1637.64)
sb80 (471.872,1934.45) (512.121,1947.87)
sb138 (554.205,2533.36) (572.988,2595.97)
sb276 (227.031,812.522) (263.114,824.55)
sb280 (583.38,2752.9) (628.613,2767.98)
sb246 (379.082,1693.18) (434.182,1711.54)
sb62 (538.444,2485.74) (608.928,2509.23)
sb188 (162.693,714.313) (183.764,784.55)
sb224 (222.649,832.876) (275.893,850.625)
sb98 (435.872,2002.05) (472.818,2014.36)
sb55 (0,0) (15.5499,51.8331)
sb35 (15.5499,57.2083) (25.2246,89.4574)
sb44 (42.5365,80.1866) (56.4792,126.662)
sb144 (95.8541,219.398) (138.281,233.54)
sb88 (416.184,1868.06) (478.055,1888.68)
sb29 (126.013,665.348) (177.101,682.378)
sb235 (223.109,749.34) (278.209,767.707)
sb109 (379.082,1540.27) (455.213,1565.65)
sb52 (619.886,2973.5) (664.585,2988.4)
sb141 (121.379,136.5) (172.025,153.382)
sb58 (172.025,138.948) (215.326,153.382)
sb173 (599.628,2870.23) (627.912,2898.52)
sb78 (223.929,1121.78) (238.127,1169.11)
sb238 (471.891,2277.42) (489.664,2336.67)
sb206 (496.683,1845.92) (563.09,1868.06)
sb11 (416.184,1823.11) (470.516,1841.23)
sb296 (367.698,1459.93) (379.082,1497.87)
sb226 (210.247,1123.75) (223.929,1169.36)
sb222 (183.764,714.313) (234.262,731.145)
sb295 (305.335,1298.85) (346.286,1312.5)
sb218 (583.61,2452.14) (627.599,2466.81)
sb18 (56.4792,153.382) (131.818,178.495)
sb160 (583.38,2809.27) (619.38,2821.27)
sb275 (379.082,1581.14) (422.07,1595.47)
sb47 (126.013,787.797) (148.463,862.63)
sb277 (344.923,1346.76) (357.931,1390.12)
sb176 (183.764,767.707) (245.099,788.152)
sb259 (602.223,3074.63) (619.886,3092.3)
sb3 (614.509,2653.53) (667.754,2671.28)
sb241 (358.023,1416.36) (367.698,1448.61)
sb183 (470.015,2194.95) (489.664,2260.45)
sb243 (216.214,991.932) (277.647,1012.41)
sb182 (619.886,2988.4) (652.75,3021.27)
sb215 (555.773,2170.27) (580.451,2194.95)
sb77 (209.232,1074.77) (223.929,1123.75)
sb126 (604.376,2407.32) (632.518,2416.7)
sb264 (455.213,1547.07) (510.936,1565.65)
sb4 (168.334,618.366) (241.819,642.861)
sb50 (183.764,731.283) (212.013,740.699)
sb197 (647.147,3102.13) (679.334,3134.32)
sb265 (148.463,714.313) (162.693,761.747)
sb171 (583.38,2828.87) (599.628,2883.03)
sb84 (416.184,1888.68) (435.872,1954.31)
sb271 (379.082,1479.51) (434.073,1497.84)
sb220 (326.675,1346.76) (344.923,1407.59)
sb42 (379.082,1459.93) (437.819,1479.51)
sb72 (652.75,2999.36) (674.659,3021.27)
sb136 (574.164,2377.66) (610.66,2389.83)
sb155 (583.38,2742.1) (615.784,2752.9)
sb121 (112.102,474.641) (174.36,495.394)
sb40 (15.5499,16.5227) (67.309,33.7757)
sb115 (527.612,2194.95) (574.983,2210.74)
sb30 (462.473,1715.43) (503.46,1729.09)
sb68 (441.436,1672.68) (502.917,1693.18)
sb131 (112.102,495.394) (192.601,522.227)
sb221 (25.2246,80.1866) (38.4723,124.345)
sb119 (489.664,2272.57) (551.146,2293.07)
sb81 (15.5499,33.7757) (37.4588,55.6846)
sb116 (558.903,2210.76) (581.968,2233.82)
sb129 (538.444,2509.23) (585.815,2525.02)
sb16 (112.102,554.624) (187.402,579.724)
sb7 (56.4792,178.495) (111.661,196.889)
sb71 (498.666,2116.97) (555.797,2136.02)
sb168 (505.727,2293.07) (560.059,2311.18)
sb272 (223.929,1169.11) (239.803,1222.03)
sb45 (511.171,1948.48) (535.666,1972.97)
sb292 (255.459,1182.45) (308.449,1200.11)
sb247 (183.764,1048.86) (204.287,1117.27)
sb25 (239.803,1162.06) (300.967,1182.45)
sb289 (223.929,1074.77) (284.451,1094.94)
sb87 (416.184,1841.23) (496.683,1868.06)
sb199 (572.988,2577.79) (630.85,2597.08)
sb209 (126.013,714.313) (148.058,787.797)
sb74 (371.36,1373.31) (437.587,1395.39)
sb15 (305.335,1221.13) (344.45,1234.17)
sb56 (405.243,1781.73) (470.65,1803.54)
