Final area = 389995
Black area = 116825

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb220 (36.6733,1704.32) (54.9216,1765.14)
sb215 (54.61,2798.18) (97.3534,2812.43)
sb76 (51.6748,96.2819) (89.1448,133.752)
sb244 (38.8036,46.3977) (76.7905,59.06)
sb138 (40.9456,3331.68) (100.343,3351.48)
sb296 (64.6251,1825.06) (100.625,1837.06)
sb27 (33.1247,179.395) (54.4789,250.576)
sb65 (78.8019,1537.73) (96.0936,1555.03)
sb60 (30.1528,996.034) (43.8349,1041.64)
sb171 (48.957,3555.38) (100.338,3572.51)
sb134 (38.127,2870.33) (60.0222,2943.31)
sb122 (37.0508,2964.39) (66.3765,2993.72)
sb276 (15.7306,996.034) (27.1411,1034.07)
sb50 (45.1244,889.605) (73.3733,899.022)
sb248 (36.9155,2943.31) (100.153,2964.39)
sb129 (15.7306,3246.83) (43.0801,3274.18)
sb255 (15.7306,1665.79) (89.8858,1690.51)
sb160 (64.338,3572.51) (100.338,3584.51)
sb219 (43.8349,996.034) (82.7193,1009)
sb206 (27.1148,2407.23) (48.1148,2477.23)
sb25 (64.695,1422.83) (100.008,1458.15)
sb72 (18.5753,3821.21) (40.4842,3843.12)
sb190 (41.1307,59.06) (95.8755,77.3083)
sb114 (15.7306,2943.31) (36.9155,3013.93)
sb73 (50.6475,2163.46) (91.3415,2177.03)
sb228 (15.7306,1069.65) (51.227,1081.48)
sb240 (15.7306,1246.61) (51.9383,1258.68)
sb283 (64.695,1414.77) (88.8817,1422.83)
sb135 (51.227,1337.98) (96.227,1352.98)
sb1 (15.7306,2571.49) (51.7306,2583.49)
sb299 (76.7598,1482.43) (99.2765,1489.93)
sb213 (51.7306,2571.49) (88.3912,2583.71)
sb79 (34.3209,1987.92) (65.9436,2019.54)
sb167 (15.7306,419.775) (78.9445,440.846)
sb111 (50.6693,769.312) (59.7192,799.478)
sb63 (24.001,1414.77) (64.695,1455.46)
sb195 (15.7306,1143.97) (27.0752,1181.79)
sb289 (15.7306,1379.83) (50.6734,1414.77)
sb196 (15.7306,1510.33) (86.7446,1534)
sb37 (38.8036,22.9783) (71.1146,33.7486)
sb277 (15.7306,1690.51) (56.8645,1704.22)
sb180 (73.7108,3638.2) (101.279,3665.77)
sb272 (50.6734,1398.04) (100.873,1414.77)
sb97 (57.1346,654.42) (99.561,668.562)
sb274 (51.5425,2473.53) (77.8674,2499.85)
sb245 (15.7306,2545.45) (66.6422,2562.42)
sb33 (49.0178,1869.24) (94.5151,1914.74)
sb174 (60.0222,2870.86) (86.2519,2897.09)
sb46 (15.7306,2562.42) (42.9519,2571.49)
sb261 (15.7306,3275.61) (55.9798,3289.02)
sb53 (61.2287,3120.18) (97.2287,3132.18)
sb90 (15.7306,3551.28) (48.957,3584.51)
sb130 (71.8551,3247.68) (99.7836,3275.61)
sb104 (15.7306,2710.95) (57.7306,2724.95)
sb165 (76.207,1319.09) (95.1015,1337.98)
sb193 (59.9577,3537.6) (100.982,3551.28)
sb85 (15.7306,708.078) (81.9574,730.154)
sb94 (15.7306,2298.5) (57.7663,2312.51)
sb217 (15.7306,3474.13) (32.7011,3530.7)
sb12 (74.8685,455.337) (84.7123,488.15)
sb18 (33.1247,133.752) (76.6219,177.249)
sb91 (20.6194,769.312) (50.6693,799.362)
sb71 (15.7306,2724.95) (72.862,2744)
sb59 (27.4139,2606.69) (100.612,2631.09)
sb238 (54.61,2812.43) (87.06,2844.88)
sb80 (77.8674,2476.62) (101.105,2499.85)
sb233 (15.7306,1034.07) (30.1528,1048.49)
sb7 (15.6748,187.137) (33.1247,245.304)
sb216 (15.7306,2044.01) (64.6591,2060.32)
sb100 (15.7306,3037.22) (92.8019,3062.91)
sb9 (15.7306,2279.35) (73.1762,2298.5)
sb0 (80.6767,2776.63) (100.801,2796.76)
sb229 (15.7306,1927.66) (34.3209,1989.63)
sb10 (30.0554,344.458) (41.8664,383.828)
sb292 (46.2859,1463) (99.2765,1480.67)
sb158 (31.4746,3312.39) (40.9456,3343.96)
sb279 (56.2775,3079.23) (97.2287,3120.18)
sb249 (15.7306,555.099) (68.9753,572.847)
sb237 (71.9355,1182.16) (100.918,1211.14)
sb295 (15.7306,1590.14) (28.6805,1633.31)
sb103 (34.4388,3474.13) (93.3286,3493.76)
sb142 (15.7306,3372.55) (47.3375,3404.15)
sb54 (15.7306,2163.46) (33.2234,2221.77)
sb47 (15.7306,822.507) (86.7235,846.171)
sb102 (80.4943,210.973) (101.279,280.256)
sb67 (15.7306,484.24) (52.9596,496.65)
sb262 (15.7306,2125.13) (78.0844,2145.91)
sb202 (15.7306,1534) (78.8019,1555.03)
sb210 (57.6233,2634.86) (88.2174,2645.05)
sb147 (15.7306,2524.95) (77.2123,2545.45)
sb203 (15.7306,1339.84) (51.227,1351.67)
sb132 (15.7306,3289.02) (30.2426,3337.4)
sb112 (15.7306,3626.59) (43.1167,3653.97)
sb137 (15.7306,2111.13) (57.7306,2125.13)
sb184 (16.4166,2351.54) (50.3282,2385.45)
sb236 (15.7306,1182.16) (71.9355,1200.89)
sb128 (40.4842,3792.04) (101.279,3812.31)
sb258 (27.0752,1143.97) (94.0677,1166.3)
sb282 (15.7306,3095.85) (52.0624,3132.18)
sb239 (47.095,1480.67) (76.7598,1510.33)
sb14 (41.8664,356.458) (94.5162,374.008)
sb222 (15.7306,917.388) (66.2281,934.221)
sb149 (41.8664,374.008) (97.562,392.573)
sb212 (68.7723,2661.01) (98.4708,2690.7)
sb290 (15.7306,2407.23) (27.1148,2445.18)
sb163 (15.7306,3021.66) (62.3996,3037.22)
sb96 (15.7306,1643.3) (83.2139,1665.79)
sb108 (15.7306,2775.11) (80.6767,2796.76)
sb198 (59.535,1590.14) (89.7343,1620.34)
sb145 (15.7306,2631.09) (57.6233,2645.05)
sb186 (18.1376,3723.91) (73.5362,3742.37)
sb226 (51.227,1313) (76.207,1337.98)
sb178 (15.7306,3404.15) (33.7028,3422.13)
sb89 (15.7306,1837.06) (65.9302,1853.79)
sb189 (83.5952,847.653) (96.1809,889.605)
sb6 (51.9383,1232.49) (83.9695,1264.52)
sb270 (60.0222,2897.09) (92.1936,2907.82)
sb23 (38.1782,2645.05) (83.3445,2660.11)
sb280 (15.7306,3459.05) (60.9633,3474.13)
sb246 (33.2234,2163.46) (50.6475,2221.54)
sb78 (50.6734,1383.07) (95.5733,1398.04)
sb156 (83.9695,1225.88) (95.5626,1264.52)
sb224 (15.7306,1081.48) (46.4714,1112.22)
sb21 (28.529,302.652) (89.3237,322.917)
sb86 (15.7306,2020.09) (87.4801,2044.01)
sb11 (15.7306,2312.51) (70.0629,2330.62)
sb105 (40.1027,2755.49) (98.9669,2775.11)
sb201 (46.5072,1166.3) (94.0677,1182.16)
sb35 (0,0) (9.67471,32.249)
sb93 (15.7306,1555.03) (53.6779,1567.68)
sb154 (46.4714,3424.35) (65.8105,3443.69)
sb141 (15.6748,133.752) (31.6904,187.137)
sb107 (32.7011,2832.63) (54.61,2854.54)
sb69 (47.3375,3372.98) (78.5144,3404.15)
sb24 (41.8664,344.458) (77.8664,356.458)
sb252 (84.7123,455.337) (97.3455,497.448)
sb127 (54.6792,3175.89) (87.4664,3208.67)
sb99 (52.0624,3064.18) (97.2287,3079.23)
sb49 (28.529,283.056) (87.3167,302.652)
sb30 (50.6475,2177.03) (63.609,2220.23)
sb119 (60.0222,2907.82) (95.5187,2943.31)
sb286 (62.2064,1786.64) (100.625,1825.06)
sb278 (15.7306,280.256) (28.529,322.917)
sb8 (15.7306,539.225) (63.3541,555.099)
sb235 (15.7306,899.022) (70.8305,917.388)
sb106 (40.1027,2744) (74.57,2755.49)
sb43 (0,84.0821) (15.6748,136.331)
sb200 (15.7306,799.478) (84.8175,822.507)
sb267 (15.7306,518.201) (78.8019,539.225)
sb168 (66.3765,2964.39) (83.5579,3021.66)
sb257 (49.4024,2424.9) (62.3755,2468.14)
sb58 (76.6219,133.752) (90.3149,179.395)
sb36 (48.2669,392.573) (97.562,409.004)
sb56 (15.7306,2234.25) (81.137,2256.06)
sb101 (41.1307,77.3083) (98.0517,96.2819)
sb164 (34.4388,3493.76) (100.982,3515.94)
sb150 (39.6745,2993.72) (66.3765,3020.42)
sb287 (46.4714,1082.52) (76.1699,1112.22)
sb26 (87.2672,955.785) (99.342,996.034)
sb124 (15.7306,3062.91) (48.6699,3095.85)
sb254 (15.7306,2224.06) (46.3247,2234.25)
sb298 (54.9216,1750.31) (91.2534,1786.64)
sb75 (15.7306,1458.15) (30.6302,1507.81)
sb162 (33.5126,644.94) (57.1346,668.562)
sb234 (15.7306,2744) (40.1027,2768.37)
sb204 (63.609,2177.03) (100.392,2213.81)
sb284 (86.096,1005.43) (99.8437,1051.26)
sb140 (22.4088,876.306) (45.1244,899.022)
sb41 (15.7306,344.458) (30.0554,392.207)
sb87 (50.3282,2340.01) (96.804,2386.48)
sb151 (70.0629,2312.51) (97.5583,2340.01)
sb208 (59.535,1620.34) (99.7842,1633.76)
sb3 (15.7306,3424.35) (46.4714,3455.09)
sb15 (53.6779,1555.03) (92.7931,1568.06)
sb144 (54.4789,179.395) (96.9053,193.538)
sb175 (15.7306,3606.99) (31.2225,3622.48)
sb152 (87.4664,3176.84) (97.0163,3208.67)
sb264 (65.9436,1987.92) (98.1151,2020.09)
sb74 (15.7306,1704.32) (36.6733,1774.13)
sb273 (15.7306,440.846) (59.2047,455.337)
sb66 (15.7306,2499.85) (91.03,2524.95)
sb32 (89.1448,96.4245) (100.343,133.752)
sb176 (15.7306,955.785) (51.1424,991.196)
sb230 (47.4796,1112.51) (78.9438,1143.97)
sb155 (15.7306,3530.7) (34.4388,3549.41)
sb22 (15.7306,1051.26) (70.9121,1069.65)
sb223 (89.3237,285.59) (100.522,322.917)
sb260 (15.7306,1414.77) (24.001,1442.34)
sb48 (28.6805,1590.14) (59.535,1620.99)
sb242 (15.7306,455.337) (67.1115,472.464)
sb243 (15.7306,1211.14) (51.1988,1246.61)
sb297 (41.8314,3812.31) (101.279,3832.12)
sb157 (62.3755,2460.62) (101.105,2473.53)
sb197 (45.5295,3832.12) (101.279,3850.71)
sb205 (69.6513,2213.81) (100.392,2224.06)
sb188 (45.1244,847.653) (83.5952,886.124)
sb83 (15.7306,3169.72) (54.6792,3208.67)
sb131 (74.9654,560.087) (100.421,644.94)
sb211 (15.7306,3223.34) (29.587,3237.19)
sb181 (44.728,3636.79) (73.7108,3665.77)
sb209 (59.7192,759.229) (99.9684,799.478)
sb42 (15.7306,1865.75) (34.3047,1927.66)
sb263 (15.7306,1352.98) (96.2663,1379.83)
sb161 (15.7306,1286.16) (96.2663,1313)
sb61 (15.7306,934.221) (80.4221,955.785)
sb81 (38.8036,33.7486) (76.7509,46.3977)
sb40 (15.6748,0) (32.0425,54.5588)
sb57 (54.4789,193.538) (80.4943,280.256)
sb194 (82.2001,3759.55) (101.279,3778.63)
sb16 (31.4913,572.847) (74.9654,616.322)
sb51 (73.3733,890.381) (99.2963,899.022)
sb2 (56.8645,1690.51) (98.2891,1704.32)
sb109 (52.455,1943.97) (96.4095,1987.92)
sb275 (51.7105,1914.74) (94.6989,1929.07)
sb221 (76.7905,34.8732) (100.977,59.06)
sb118 (15.7306,2854.54) (38.127,2929.19)
sb294 (38.5112,1620.99) (59.535,1642.02)
sb281 (40.4842,3778.63) (80.7334,3792.04)
