Final area = 347983
Black area = 74812.9

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb86 (43.7686,634.874) (85.1932,676.298)
sb123 (49.5986,1052.36) (65.3593,1104.9)
sb149 (151.404,89.7633) (207.1,108.328)
sb29 (100.023,175.557) (151.111,192.586)
sb134 (71.2284,903.553) (93.1236,976.537)
sb249 (207.1,90.5803) (260.344,108.328)
sb168 (15.5498,994.719) (69.8821,1012.83)
sb117 (176.392,159.034) (225.96,175.557)
sb129 (269.633,958.276) (284.613,1008.21)
sb223 (197.839,53.648) (218.284,74.093)
sb44 (105.569,48.0913) (131.025,73.5472)
sb253 (90.9652,1193.62) (115.152,1201.69)
sb263 (92.5681,441.777) (173.104,468.622)
sb135 (264.228,408.188) (278.458,455.622)
sb239 (234.298,414.462) (250.546,468.622)
sb232 (90.1693,662.176) (107.193,718.921)
sb130 (34.3015,1052.36) (49.5986,1103.35)
sb19 (100.023,230.822) (128.798,259.597)
sb201 (185.062,330.693) (212.521,358.152)
sb27 (156.025,0) (177.379,71.1805)
sb157 (12.0125,811.404) (34.3732,833.764)
sb286 (209.423,488.201) (230.466,558.344)
sb231 (100.023,108.328) (112.023,148.328)
sb78 (239.604,383.014) (284.504,397.98)
sb91 (12.0125,264.865) (42.0625,294.915)
sb192 (22.2003,157.641) (59.5099,194.951)
sb46 (212.177,786.999) (220.785,815.693)
sb224 (85.0526,335.55) (115.793,366.291)
sb174 (15.5498,979.576) (60.9811,994.719)
sb297 (231.3,1151.66) (265.622,1185.98)
sb32 (177.394,53.648) (197.839,74.093)
sb255 (112.954,505.392) (155.768,548.206)
sb144 (12.0125,74.093) (54.4389,88.2351)
sb79 (45.3603,744.631) (100.133,762.889)
sb291 (148.74,1050.36) (208.84,1070.39)
sb274 (248.655,705.36) (263.074,753.422)
sb271 (247.581,561.072) (264.971,619.038)
sb41 (13.4074,214.547) (39.5608,240.7)
sb285 (230.591,546.385) (266.466,558.344)
sb214 (85.7686,640.752) (107.193,662.176)
sb101 (177.379,20.7846) (210.243,53.648)
sb109 (19.6937,693.61) (43.7686,773.86)
sb111 (26.2886,375.974) (42.8113,392.497)
sb189 (24.0873,294.915) (47.0655,317.894)
sb26 (12.0125,294.915) (24.0873,335.165)
sb276 (80.9253,294.915) (117.009,306.943)
sb257 (12.0125,833.764) (35.6979,857.45)
sb289 (100.217,398.108) (160.739,418.282)
sb158 (14.1953,1181.18) (31.4869,1198.48)
sb196 (12.0125,468.622) (34.4691,543.477)
sb294 (197.908,519.952) (209.423,558.336)
sb293 (12.0125,411.52) (27.6682,463.706)
sb218 (87.5268,1051.95) (101.437,1098.32)
sb242 (100.023,89.7633) (151.404,106.89)
sb12 (260.344,75.5159) (270.188,108.328)
sb43 (29.676,0) (79.2442,16.5227)
sb273 (139.973,75.2719) (183.447,89.7633)
sb186 (242.008,1034.05) (273.992,1066.03)
sb184 (204.337,753.422) (263.074,773.001)
sb66 (12.0125,786.304) (87.3119,811.404)
sb252 (100.023,75.2719) (139.973,88.5886)
sb259 (128.6,1178.19) (146.264,1195.86)
sb71 (235.135,820.985) (268.119,853.97)
sb0 (12.0125,872.569) (32.1371,892.694)
sb107 (32.1371,880.045) (70.0844,892.694)
sb161 (187.801,412.141) (234.298,458.639)
sb150 (226.357,899.594) (253.059,926.296)
sb104 (170.177,786.304) (212.177,800.304)
sb69 (65.3593,1136.33) (96.5362,1167.51)
sb261 (260.021,909.66) (283.259,932.898)
sb147 (134.68,826.103) (170.177,861.6)
sb48 (82.1,517.351) (112.954,548.206)
sb50 (238.44,215.806) (254.749,232.116)
sb219 (209.71,291.116) (232.16,313.566)
sb49 (13.4074,194.951) (72.1952,214.547)
sb36 (30.738,248.434) (80.033,264.865)
sb181 (128.6,1200.37) (178.8,1217.11)
sb85 (100.023,192.586) (138.259,230.822)
sb229 (230.591,512.444) (264.532,546.385)
sb251 (34.4691,503.935) (72.7052,542.171)
sb37 (241.85,30.468) (274.161,41.2383)
sb193 (48.0125,1167.51) (89.0369,1181.18)
sb125 (207.127,932.898) (283.259,958.276)
sb38 (140.387,762.889) (160.362,782.864)
sb94 (117.881,748.877) (159.917,762.889)
sb212 (216.68,853.97) (268.119,871.116)
sb55 (241.85,2.07782) (270.24,30.468)
sb33 (107.193,640.752) (132.113,723.818)
sb156 (218.438,376.814) (239.604,397.98)
sb60 (184.731,288.586) (209.71,313.566)
sb166 (148.74,1104.39) (183.725,1139.38)
sb139 (101.437,1051.95) (121.427,1118.58)
sb63 (100.217,418.282) (170.701,441.777)
sb65 (204.348,458.639) (234.298,468.622)
sb53 (167.239,876.132) (203.239,888.132)
sb282 (192.193,981.919) (255.121,1002.89)
sb220 (158.947,486.058) (192.263,519.374)
sb172 (137.727,861.6) (170.177,872.417)
sb227 (122.773,483.539) (143.169,503.935)
sb226 (250.546,423.015) (264.228,468.622)
sb236 (185.062,358.152) (217.512,390.602)
sb247 (27.6682,411.52) (92.5681,433.154)
sb217 (96.5362,1136.53) (127.52,1167.51)
sb28 (71.2284,872.569) (80.5236,903.553)
sb272 (28.117,433.154) (57.0998,462.136)
sb102 (12.0125,88.2351) (77.7392,110.144)
sb99 (127.484,1007.01) (172.651,1022.07)
sb287 (41.5114,321.752) (57.7779,375.974)
sb296 (230.466,500.444) (266.466,512.444)
sb295 (70.7219,551.766) (94.3651,575.409)
sb299 (265.458,455.622) (278.458,468.622)
sb110 (65.3593,1044.69) (87.5268,1118.58)
sb280 (89.0369,1167.51) (115.152,1193.62)
sb262 (182.461,619.382) (202.179,685.108)
sb235 (24.0873,317.894) (41.5114,375.974)
sb47 (80.9253,311.886) (151.918,335.55)
sb21 (218.284,53.8281) (279.079,74.093)
sb120 (177.379,0) (239.733,20.7846)
sb87 (202.179,705.36) (248.655,751.835)
sb241 (230.466,490.246) (261.06,500.444)
sb121 (114.134,154.804) (176.392,175.557)
sb84 (202.179,642.62) (238.124,678.564)
sb77 (173.104,409.649) (187.801,458.639)
sb243 (57.0998,433.154) (92.5681,468.622)
sb14 (225.96,114.533) (278.61,132.083)
sb122 (203.239,876.132) (254.032,893.063)
sb70 (12.0125,619.382) (58.4883,634.874)
sb207 (45.3603,727.081) (98.0101,744.631)
sb215 (80.5236,878.875) (105.202,903.553)
sb163 (172.651,893.95) (187.409,943.143)
sb96 (158.947,519.374) (197.908,558.336)
sb76 (59.5099,126.54) (80.033,194.951)
sb15 (69.782,473.233) (108.897,486.271)
sb230 (266.789,273.247) (284.023,330.693)
sb267 (112.023,108.328) (175.094,129.352)
sb275 (266.466,513.03) (280.06,558.344)
sb155 (118.234,1187.13) (128.481,1221.28)
sb13 (79.2442,0) (148.179,22.9783)
sb165 (52.6327,400.612) (85.3588,411.52)
sb153 (53.1505,852.068) (113.896,872.316)
sb90 (31.4869,1181.18) (89.0369,1200.37)
sb81 (29.676,22.9783) (41.676,62.9783)
sb200 (67.4593,265.761) (136.546,288.79)
sb225 (57.7779,294.915) (80.9253,372.073)
sb137 (43.7686,676.298) (85.7686,690.298)
sb176 (151.918,311.886) (171.314,376.539)
sb54 (264.971,561.072) (282.463,619.382)
sb208 (72.7052,503.935) (112.954,517.351)
sb45 (52.455,813.675) (76.9499,838.17)
sb98 (76.9499,839.752) (113.896,852.068)
sb281 (231.3,1077.05) (244.028,1119.48)
sb93 (94.3651,553.5) (116.274,575.409)
sb124 (107.261,974.07) (140.201,1007.01)
sb258 (217.512,354.483) (284.504,376.814)
sb10 (183.447,77.3134) (220.797,89.7633)
sb138 (36.184,1104.9) (54.967,1167.51)
sb7 (82.5731,206.699) (100.023,264.865)
sb59 (202.179,680.96) (275.378,705.36)
sb180 (216.201,1077.05) (231.3,1127.38)
sb209 (238.44,175.557) (278.689,215.806)
sb198 (157.117,468.622) (209.423,486.058)
sb234 (220.785,786.999) (234.134,831.497)
sb154 (128.481,1022.07) (161.978,1033.23)
sb216 (132.113,640.752) (160.362,669.001)
sb182 (265.622,1125.98) (283.622,1185.98)
sb95 (160.362,637.045) (182.461,710.711)
sb97 (196.014,229.028) (238.44,243.17)
sb221 (41.676,22.9783) (54.9237,67.1371)
sb119 (105.757,872.569) (167.239,893.063)
sb16 (235.136,132.083) (278.61,175.557)
sb128 (244.028,1084.38) (279.128,1119.48)
sb183 (69.8821,979.576) (105.757,1015.45)
sb22 (234.93,298.834) (266.789,330.693)
sb237 (184.731,313.566) (234.93,330.3)
sb24 (220.797,77.7633) (256.797,89.7633)
sb126 (182.084,1002.89) (198.332,1019.14)
sb3 (65.3593,1118.58) (118.604,1136.33)
sb277 (177.464,578.838) (218.598,592.549)
sb238 (140.201,974.56) (172.651,1007.01)
sb178 (177.59,1167.82) (208.719,1178.19)
sb17 (112.023,129.352) (179.484,151.839)
sb269 (29.6335,646.493) (43.7686,693.61)
sb245 (196.077,800.304) (212.177,853.97)
sb51 (42.8113,377.53) (57.7779,392.497)
sb30 (98.0101,730.969) (138.998,744.631)
sb116 (93.1236,937.465) (105.757,979.576)
sb185 (34.3015,1022.07) (64.6,1052.36)
sb228 (96.473,376.539) (131.969,388.371)
sb114 (32.5503,892.694) (71.2284,931.372)
sb160 (12.0125,1167.51) (48.0125,1179.51)
sb171 (128.481,1033.23) (179.862,1050.36)
sb197 (231.3,1119.48) (263.487,1151.66)
sb250 (152.42,200.324) (170.202,259.597)
sb195 (217.512,330.693) (253.387,342.651)
sb148 (54.967,1132.87) (65.3593,1167.51)
sb173 (128.6,1161.86) (177.59,1178.19)
sb80 (202.179,619.382) (225.417,642.62)
sb206 (238.124,642.62) (276.464,680.96)
sb5 (59.6369,228.038) (80.033,248.434)
sb31 (12.0125,1201.69) (70.8002,1221.28)
sb133 (42.0625,265.761) (67.4593,291.157)
sb56 (263.074,705.36) (283.757,774.304)
sb62 (12.0125,1079.77) (34.3015,1154.07)
sb92 (36.6185,589.217) (116.274,615.769)
sb118 (105.757,893.063) (128.153,967.718)
sb283 (92.5681,398.108) (100.217,423.603)
sb151 (187.12,685.108) (202.179,735.308)
sb140 (131.969,376.539) (171.314,389.654)
sb67 (241.85,41.2383) (279.079,53.648)
sb246 (142.937,669.001) (160.362,727.081)
sb103 (148.74,1070.39) (182.74,1104.39)
sb265 (193.44,175.557) (238.44,190.557)
sb254 (160.362,619.382) (178.025,637.045)
sb169 (40.6343,931.372) (71.2284,961.966)
sb164 (146.264,1178.19) (212.807,1200.37)
sb40 (12.0125,0) (28.3801,54.5588)
sb142 (12.0125,1022.07) (29.3243,1079.77)
sb73 (99.6927,762.889) (140.387,776.453)
sb2 (74.8494,575.409) (116.274,589.217)
sb61 (217.553,243.301) (282.245,264.865)
sb89 (218.598,563.566) (247.581,592.549)
sb112 (70.8002,1205.47) (118.234,1221.28)
sb187 (128.481,1050.36) (148.74,1117.89)
sb108 (12.0125,892.694) (32.5503,961.153)
sb35 (12.0125,54.5588) (29.676,72.2224)
sb82 (35.6979,813.675) (52.455,869.532)
sb25 (34.4691,468.622) (69.782,503.935)
sb205 (100.133,745.14) (117.881,762.889)
sb20 (20.8319,857.45) (35.6979,872.316)
sb162 (128.798,235.975) (152.42,259.597)
sb284 (171.314,330.693) (185.062,376.519)
sb256 (34.4691,548.206) (43.519,578.372)
